Time,Emotion,Confidence
2026-02-15 12:44:22,angry,99.32
2026-02-15 12:44:22,fear,98.97000122070312
2026-02-15 12:44:23,fear,98.13999938964844
2026-02-15 12:44:23,fear,94.6999969482422
2026-02-15 12:44:23,disgust,41.41999816894531
2026-02-15 12:44:23,disgust,49.900001525878906
2026-02-15 12:44:23,fear,58.66999816894531
2026-02-15 12:44:23,sad,69.54000091552734
2026-02-15 12:44:23,neutral,48.400001525878906
2026-02-15 12:44:23,neutral,48.02999877929688
2026-02-15 12:44:23,neutral,99.25
2026-02-15 12:44:23,neutral,90.1999969482422
2026-02-15 12:44:24,neutral,96.97000122070312
2026-02-15 12:44:24,neutral,92.88999938964844
2026-02-15 12:44:24,neutral,89.94000244140625
2026-02-15 12:44:24,neutral,95.93000030517578
2026-02-15 12:44:24,neutral,97.69000244140624
2026-02-15 12:44:24,neutral,94.6999969482422
2026-02-15 12:44:24,neutral,94.55999755859376
2026-02-15 12:44:24,neutral,98.75
2026-02-15 12:44:24,neutral,89.83999633789062
2026-02-15 12:44:24,neutral,99.0999984741211
2026-02-15 12:44:25,neutral,98.18000030517578
2026-02-15 12:44:25,neutral,96.33999633789062
2026-02-15 12:44:25,neutral,94.87000274658205
2026-02-15 12:44:25,neutral,93.33000183105467
2026-02-15 12:44:25,neutral,98.41000366210938
2026-02-15 12:44:25,neutral,63.86000061035156
2026-02-15 12:44:25,angry,54.369998931884766
2026-02-15 12:44:25,happy,93.87999725341795
2026-02-15 12:44:25,fear,65.80000305175781
2026-02-15 12:44:25,happy,84.06999969482422
2026-02-15 12:44:26,fear,69.63999938964844
2026-02-15 12:44:26,neutral,54.2400016784668
2026-02-15 12:44:26,happy,87.55999755859375
2026-02-15 12:44:26,neutral,53.59999847412109
2026-02-15 12:44:26,fear,66.37999725341797
2026-02-15 12:44:26,fear,79.76000213623047
2026-02-15 12:44:26,happy,77.62000274658203
2026-02-15 12:44:26,neutral,83.70999908447266
2026-02-15 12:44:26,fear,85.58000183105469
